Loan Number,SMS Sent,SMS Delivered,SMS Delivered %,SMS Contact,Calls Made,Calls Connected,Calling Contact,Latest PTP Channel,PTP Date,Paid Date,PTP Status,Contactable,SMS Connect,Calling Connect,Contactable Count
LN1,6,0,0,No,47,0,No,0,NaT,0,NO PTP,No,0,0,0
LN2,24,24,100,Yes,25,0,No,0,NaT,0,NO PTP,Yes,1,0,1
LN3,6,0,0,No,19,0,No,0,NaT,0,NO PTP,No,0,0,0
LN4,6,0,0,No,22,0,No,0,NaT,0,NO PTP,No,0,0,0
LN5,18,18,100,Yes,13,7,Yes,0,NaT,14/09/24,NO PTP,Yes,1,1,1
LN6,24,24,100,Yes,45,7,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN7,6,0,0,No,14,0,No,0,NaT,02/09/24,NO PTP,No,0,0,0
LN8,9,9,100,Yes,0,0,No,0,NaT,03/09/24,NO PTP,Yes,1,0,1
LN9,7,1,14.29,Yes,14,0,No,0,NaT,0,NO PTP,Yes,1,0,1
LN10,24,23,95.83,Yes,17,0,No,0,NaT,0,NO PTP,Yes,1,0,1
LN11,9,3,33.33,Yes,8,2,Yes,0,NaT,03/09/24,NO PTP,Yes,1,1,1
LN12,24,15,62.5,Yes,40,5,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN13,9,8,88.89,Yes,3,1,Yes,0,NaT,05/09/24,NO PTP,Yes,1,1,1
LN14,24,24,100,Yes,13,3,Yes,TeleCalling,19/08/24,19/09/24,BROKEN,Yes,1,1,1
LN15,9,8,88.89,Yes,1,1,Yes,0,NaT,03/09/24,NO PTP,Yes,1,1,1
LN16,9,9,100,Yes,4,0,No,0,NaT,05/09/24,NO PTP,Yes,1,0,1
LN17,9,9,100,Yes,2,0,No,TeleCalling,13/08/24,07/09/24,BROKEN,Yes,1,0,1
LN18,24,21,87.5,Yes,14,8,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN19,9,9,100,Yes,7,2,Yes,TeleCalling,07/08/24,07/09/24,BROKEN,Yes,1,1,1
LN20,13,6,46.15,Yes,12,0,No,0,NaT,0,NO PTP,Yes,1,0,1
LN21,24,23,95.83,Yes,12,0,No,0,NaT,0,NO PTP,Yes,1,0,1
LN22,7,1,14.29,Yes,53,1,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN23,24,24,100,Yes,19,1,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN24,8,0,0,No,43,0,No,0,NaT,0,NO PTP,No,0,0,0
LN25,25,24,96,Yes,45,6,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN26,24,21,87.5,Yes,50,0,No,0,NaT,07/09/24,NO PTP,Yes,1,0,1
LN27,6,0,0,No,16,8,Yes,0,NaT,0,NO PTP,Yes,0,1,1
LN28,24,24,100,Yes,39,1,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN29,24,24,100,Yes,15,3,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN30,6,0,0,No,14,0,No,0,NaT,02/09/24,NO PTP,No,0,0,0
LN31,24,16,66.67,Yes,29,2,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN32,6,0,0,No,30,0,No,0,NaT,0,NO PTP,No,0,0,0
LN33,24,24,100,Yes,15,5,Yes,TeleCalling,12/09/24,0,BROKEN,Yes,1,1,1
LN34,24,24,100,Yes,35,5,Yes,TeleCalling,30/08/24,0,BROKEN,Yes,1,1,1
LN35,24,23,95.83,Yes,35,1,Yes,TeleCalling,07/08/24,0,BROKEN,Yes,1,1,1
LN36,9,9,100,Yes,4,3,Yes,TeleCalling,10/09/24,07/09/24,KEPT,Yes,1,1,1
LN37,5,0,0,No,2,0,No,0,NaT,02/09/24,NO PTP,No,0,0,0
LN38,7,0,0,No,56,0,No,0,NaT,0,NO PTP,No,0,0,0
LN39,24,9,37.5,Yes,41,0,No,0,NaT,19/09/24,NO PTP,Yes,1,0,1
LN40,24,23,95.83,Yes,44,1,Yes,0,NaT,13/09/24,NO PTP,Yes,1,1,1
LN41,24,24,100,Yes,14,0,No,0,NaT,0,NO PTP,Yes,1,0,1
LN42,24,24,100,Yes,56,1,Yes,TeleCalling,30/08/24,0,BROKEN,Yes,1,1,1
LN43,24,24,100,Yes,61,3,Yes,TeleCalling,20/08/24,0,BROKEN,Yes,1,1,1
LN44,24,13,54.17,Yes,32,12,Yes,TeleCalling,20/09/24,21/09/24,BROKEN,Yes,1,1,1
LN45,24,24,100,Yes,33,5,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN46,24,23,95.83,Yes,16,5,Yes,TeleCalling,06/09/24,0,BROKEN,Yes,1,1,1
LN47,24,23,95.83,Yes,18,2,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN48,24,24,100,Yes,33,4,Yes,TeleCalling,16/08/24,0,BROKEN,Yes,1,1,1
LN49,24,22,91.67,Yes,41,7,Yes,TeleCalling,26/08/24,0,BROKEN,Yes,1,1,1
LN50,23,23,100,Yes,38,3,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN51,6,0,0,No,82,0,No,0,NaT,0,NO PTP,No,0,0,0
LN52,6,0,0,No,14,0,No,0,NaT,0,NO PTP,No,0,0,0
LN53,9,8,88.89,Yes,0,0,No,0,NaT,05/09/24,NO PTP,Yes,1,0,1
LN54,9,8,88.89,Yes,4,1,Yes,0,NaT,11/09/24,NO PTP,Yes,1,1,1
LN55,24,22,91.67,Yes,32,3,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN56,24,24,100,Yes,45,0,No,0,NaT,0,NO PTP,Yes,1,0,1
LN57,9,9,100,Yes,10,1,Yes,0,NaT,07/09/24,NO PTP,Yes,1,1,1
LN58,24,24,100,Yes,17,8,Yes,TeleCalling,15/08/24,0,BROKEN,Yes,1,1,1
LN59,11,11,100,Yes,6,4,Yes,TeleCalling,07/08/24,09/09/24,BROKEN,Yes,1,1,1
LN60,24,23,95.83,Yes,17,1,Yes,0,NaT,0,NO PTP,Yes,1,1,1
LN61,13,2,15.38,Yes,12,0,No,0,NaT,0,NO PTP,Yes,1,0,1
LN62,24,24,100,Yes,31,0,No,0,NaT,10/09/24,NO PTP,Yes,1,0,1
LN63,24,24,100,Yes,15,1,Yes,0,NaT,0,NO PTP,Yes,1,1,1
